2021/04/18 12:28:26
1 1 흑
5 5 백
6 5 흑
7 6 백
8 7 흑
5 8 백
9 6 흑
10 5 백
11 7 흑
9 7 백
13 8 흑
11 8 백
14 8 흑
8 8 백
11 9 흑
7 9 백
13 12 흑
10 6 백
15 14 흑
6 10 백

2021/04/18 12:30:36
1 1 흑
5 5 백
5 4 흑
6 6 백
5 4 흑
7 7 백
5 4 흑
4 4 백
5 4 흑
3 3 백

2021/04/18 12:33:25
1 1 흑
5 5 백
6 5 흑
7 6 백
6 8 흑
6 9 백
7 9 흑
8 10 백
8 10 흑
9 11 백
8 10 흑
4 6 백
8 10 흑
8 8 백
8 10 흑
6 6 백
8 10 흑
5 6 백
8 10 흑
3 6 백

2021/04/18 12:33:57
1 1 흑
5 5 백
6 5 흑
7 6 백
5 3 흑
7 7 백
5 3 흑
6 6 백
5 3 흑
8 8 백
5 3 흑
4 4 백

2021/04/18 12:37:18
1 1 흑
5 5 백
7 5 흑
5 6 백
7 5 흑
5 8 백
7 8 흑
5 7 백
7 8 흑
5 4 백

2021/04/18 12:49:00
1 1 흑
5 5 백
3 4 흑
6 5 백
2 5 흑
6 6 백
5 5 흑
7 6 백
2 4 흑
6 7 백
4 6 흑
6 4 백
2 4 흑
6 3 백

2021/04/18 12:51:51
1 1 흑
5 5 백
5 5 흑
6 5 백
6 6 흑
7 7 백
6 6 흑
8 7 백
6 6 흑
7 6 백
6 6 흑
5 4 백
6 6 흑
4 3 백

2021/04/18 12:54:48
1 1 흑
5 5 백
3 4 흑
6 5 백
4 4 흑
7 5 백
3 3 흑
8 5 백
6 3 흑
4 5 백

2021/04/18 12:55:55
1 1 흑
5 5 백
2 5 흑
5 6 백
4 4 흑
5 7 백
3 3 흑
5 4 백
2 2 흑
5 3 백

2021/04/18 12:56:08
1 1 흑
5 5 백
2 5 흑
5 6 백
4 4 흑
5 7 백
3 3 흑
5 4 백
2 2 흑
5 3 백

2021/04/18 12:56:20
1 1 흑
5 5 백
2 5 흑
5 6 백
4 4 흑
5 7 백
3 3 흑
5 4 백
2 2 흑
5 3 백

2021/04/18 12:56:33
1 1 흑
5 5 백
2 5 흑
5 6 백
4 4 흑
5 7 백
3 3 흑
5 4 백
2 2 흑
5 3 백

2021/04/18 12:56:46
1 1 흑
5 5 백
